id,path,width,height,displayWidth,displayHeight,anchor,layer,input,output,slots,clip,hitArea,nineSlice
"factory_room","assets/art/scene/factory_room.png","512","768","390","585","{""x"":256,""y"":768}","10","null","null","[]","null","null",""
"factory_window","assets/art/scene/factory_window.png","256","233","128","116.5","{""x"":128,""y"":233}","10","null","null","[]","null","null",""
"factory_door","assets/art/scene/factory_door.png","197","256","98.5","128","{""x"":98.5,""y"":256}","10","null","null","[]","null","null",""
"product_double_tray","assets/art/products/product_double_tray.png","128","80","64","40","{""x"":64,""y"":80}","10","[56,90]","[110,118]","[{""id"":""back_left"",""anchor"":[56,109],""width"":40,""layer"":20,""rect"":[36,62.461538,40,49.230769]},{""id"":""front_right"",""anchor"":[104,124],""width"":40,""layer"":30,""rect"":[84,77.461538,40,49.230769]}]","null","null",""
"product_box_open","assets/art/products/product_box_open.png","127","128","63.5","64","{""x"":63.5,""y"":128}","10","[54,98]","[106,144]","[{""id"":""back"",""anchor"":[80,119],""width"":35,""layer"":20,""rect"":[62.5,78.278846,35,43.076923]},{""id"":""left"",""anchor"":[54,136],""width"":35,""layer"":30,""rect"":[36.5,95.278846,35,43.076923]},{""id"":""right"",""anchor"":[106,136],""width"":35,""layer"":31,""rect"":[88.5,95.278846,35,43.076923]},{""id"":""front"",""anchor"":[80,152],""width"":35,""layer"":40,""rect"":[62.5,111.278846,35,43.076923]}]","[[23,56],[137,56],[139,153],[80,177],[21,153]]","null",""
"product_box_lid","assets/art/products/product_box_lid.png","128","91","64","45.5","{""x"":64,""y"":91}","10","null","null","[]","null","null",""
"ui_card","assets/art/ui/ui_card.png","384","115","128","38.333333333333336","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}","{""left"":32,""top"":32,""right"":32,""bottom"":32}"
"ui_compact_bar","assets/art/ui/ui_compact_bar.png","384","78","128","26","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}","{""left"":32,""top"":32,""right"":32,""bottom"":32}"
"fx_steam","assets/art/fx/fx_steam.png","63","128","31.5","64","{""x"":31.5,""y"":128}","70","null","null","[]","null","null",""
"fx_sparkle","assets/art/fx/fx_sparkle.png","104","128","52","64","{""x"":52,""y"":128}","70","null","null","[]","null","null",""
"product_box_front","assets/art/products/product_box_front.png","128","78","64","39","{""x"":64,""y"":78}","50","null","null","[]","null","null",""
"machine_pop_body","assets/art/machines/machine_pop_body.png","512","489","256","244.5","{""x"":256,""y"":489}","10","[335,413]","[555,562]","[[350,272]]","[[155,422],[162,360],[230,315],[365,301],[490,341],[550,414],[521,543],[380,590],[212,545]]","{""polygon"":[[20,140],[590,210],[635,675],[313,765],[15,602]],""coordinateSpace"":""assembly pixels"",""minimumLogicalSize"":[44,44]}",""
"machine_pop_head","assets/art/machines/machine_pop_head.png","256","248","128","124","{""x"":128,""y"":248}","20","null","null","[]","null","null",""
"machine_pop_front","assets/art/machines/machine_pop_front.png","384","205","192","102.5","{""x"":192,""y"":205}","50","null","null","[]","null","null",""
"machine_ship_body","assets/art/machines/machine_ship_body.png","499","512","249.5","256","{""x"":249.5,""y"":512}","10","[136,394]","[450,527]","[[304,259]]","[[145,270],[380,326],[414,420],[413,515],[145,422]]","{""polygon"":[[25,103],[393,37],[620,189],[621,634],[300,659],[8,503]],""coordinateSpace"":""assembly pixels"",""minimumLogicalSize"":[44,44]}",""
